PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
1,0,3,0,22.0,1,0,7.25,0,0,1
2,1,1,1,38.0,1,0,71.2833,1,0,0
3,1,3,1,26.0,0,0,7.925,0,0,1
4,1,1,1,35.0,1,0,53.1,0,0,1
5,0,3,0,35.0,0,0,8.05,0,0,1
6,0,1,0,54.0,0,0,51.8625,0,0,1
7,0,3,0,2.0,3,1,21.075,0,0,1
8,1,3,1,27.0,0,2,11.1333,0,0,1
9,1,2,1,14.0,1,0,30.0708,1,0,0
10,1,3,1,4.0,1,1,16.7,0,0,1
11,1,1,1,58.0,0,0,26.55,0,0,1
12,0,3,0,20.0,0,0,8.05,0,0,1
13,0,3,0,39.0,1,5,31.275,0,0,1
14,0,3,1,14.0,0,0,7.8542,0,0,1
15,1,2,1,55.0,0,0,16.0,0,0,1
16,0,3,0,2.0,4,1,29.125,0,1,0
17,0,3,1,31.0,1,0,18.0,0,0,1
18,0,2,0,35.0,0,0,26.0,0,0,1
19,1,2,0,34.0,0,0,13.0,0,0,1
20,1,3,1,15.0,0,0,8.0292,0,1,0
21,1,1,0,28.0,0,0,35.5,0,0,1
22,0,3,1,8.0,3,1,21.075,0,0,1
23,1,3,1,38.0,1,5,31.3875,0,0,1
24,0,1,0,19.0,3,2,263.0,0,0,1
25,0,1,0,40.0,0,0,27.7208,1,0,0
26,0,2,0,66.0,0,0,10.5,0,0,1
27,0,1,0,28.0,1,0,82.1708,1,0,0
28,0,1,0,42.0,1,0,52.0,0,0,1
29,0,3,0,21.0,0,0,8.05,0,0,1
30,0,3,1,18.0,2,0,18.0,0,0,1
31,1,3,1,14.0,1,0,11.2417,1,0,0
32,0,3,1,40.0,1,0,9.475,0,0,1
33,0,2,1,27.0,1,0,21.0,0,0,1
34,1,2,1,3.0,1,2,41.5792,1,0,0
35,1,3,1,19.0,0,0,7.8792,0,1,0
36,0,3,1,18.0,1,0,17.8,0,0,1
37,0,3,0,7.0,4,1,39.6875,0,0,1
38,0,3,0,21.0,0,0,7.8,0,0,1
39,1,1,1,49.0,1,0,76.7292,1,0,0
40,1,2,1,29.0,1,0,26.0,0,0,1
41,0,1,0,65.0,0,1,61.9792,1,0,0
42,1,2,1,21.0,0,0,10.5,0,0,1
43,0,3,0,28.5,0,0,7.2292,1,0,0
44,1,2,1,5.0,1,2,27.75,0,0,1
45,0,3,0,11.0,5,2,46.9,0,0,1
46,0,3,0,22.0,0,0,7.2292,1,0,0
47,0,1,0,45.0,1,0,83.475,0,0,1
48,0,3,0,4.0,3,2,27.9,0,0,1
49,1,2,1,29.0,0,0,10.5,0,0,1
50,0,3,0,19.0,0,0,8.1583,0,0,1
51,1,3,1,17.0,4,2,7.925,0,0,1
52,0,3,0,26.0,2,0,8.6625,0,0,1
53,0,2,0,32.0,0,0,10.5,0,0,1
54,0,3,1,16.0,5,2,46.9,0,0,1
55,0,2,0,21.0,0,0,73.5,0,0,1
56,0,3,0,26.0,1,0,14.4542,1,0,0
57,1,3,0,32.0,0,0,56.4958,0,0,1
58,0,3,0,25.0,0,0,7.65,0,0,1
59,1,2,0,0.83,0,2,29.0,0,0,1
60,1,3,1,30.0,0,0,12.475,0,0,1
61,0,3,0,22.0,0,0,9.0,0,0,1
62,1,3,0,29.0,0,0,9.5,0,0,1
63,0,1,0,28.0,0,0,47.1,0,0,1
64,1,2,1,17.0,0,0,10.5,0,0,1
65,1,3,1,33.0,3,0,15.85,0,0,1
66,0,3,0,16.0,1,3,34.375,0,0,1
67,1,1,1,23.0,3,2,263.0,0,0,1
68,0,3,0,24.0,0,0,8.05,0,0,1
69,0,3,0,29.0,0,0,8.05,0,0,1
70,0,3,0,20.0,0,0,7.8542,0,0,1
71,0,1,0,46.0,1,0,61.175,0,0,1
72,0,3,0,26.0,1,2,20.575,0,0,1
73,0,3,0,59.0,0,0,7.25,0,0,1
74,0,1,0,71.0,0,0,34.6542,1,0,0
75,1,1,0,23.0,0,1,63.3583,1,0,0
76,1,2,1,34.0,0,1,23.0,0,0,1
77,0,2,0,34.0,1,0,26.0,0,0,1
78,0,3,1,28.0,0,0,7.8958,0,0,1
